HD 120084 b,12.8,9.12
HD 121504 b,13.6,1.07
HD 12235 b,3.23,1.8
HD 12235 c,12.5,1.8
HD 122562 c,10.1,2.17
HD 124330 b,14,1.3
HD 12484 b,13.2,1
HD 125271 b,12.4,0.75
HD 125390 b,11.9,6.47
HD 125595 b,2.4,0.74
HD 125612 b,13.2,1.07
HD 125612 c,4.07,1.05
HD 125612 d,12.7,1.05
HD 12648 b,13.4,11.02
HD 126525 b,10.3,0.98
HD 12661 b,13.3,1.2
HD 12661 c,13.4,1.11
HD 126614 b,12.7,1.37
HD 127506 b,5.67,0.74
HD 128311 b,13.5,0.76
HD 128311 c,13,0.76
HD 128356 b,13.9,0.85
HD 129445 b,13.3,1.18
HD 130322 b,13.7,0.85
HD 131496 b,13.4,4.44
HD 13167 b,13.1,2.39
HD 13189 b,12.4,38.41
HD 132406 b,12.7,1.34
HD 132563 b,13.6,1.3
HD 133131 A b,13.6,0.96
HD 133131 A c,14.3,0.96
HD 133131 B b,13.3,0.99
HD 134060 b,3.16,1.16
HD 134060 c,5.91,1.16
HD 134987 b,13.5,1.22
HD 134987 c,13.9,1.25
HD 135872 b,12.8,3.93
HD 136118 b,12.3,1.68
HD 136352 b,1.664,1.06
HD 136352 c,2.916,1.06
HD 136352 d,2.562,1.06
HD 136418 b,13.3,3.78
HD 136925 b,13.9,1.19
HD 13724 c,8.18,1.04
HD 137388 b,9.32,0.88
HD 137496 c,12.6,1.59
HD 13808 b,3.35,0.78
HD 13808 c,3.13,0.78
HD 13908 b,13.9,1.67
HD 13908 c,12.8,1.67
HD 13931 b,13.2,1.25
HD 139357 b,12.1,11.47
HD 14067 b,12.2,12.4
HD 140901 b,4.07,0.95
HD 140901 c,12.7,0.95
HD 141004 b,3.77,1.39
HD 141399 b,14.3,1.39
HD 141399 c,13.6,1.39
HD 141399 d,13.7,1.39
HD 141399 e,14.1,1.39
HD 141937 b,12.5,1.03
HD 142 A d,10.9,1.41
HD 142 b,13.7,1.47
HD 142 c,12.4,1.47
HD 142022 A b,12.9,1.04
HD 142245 b,13.1,4.63
HD 142415 b,13.5,1.04
HD 143105 b,13.7,1.65
HD 143361 b,12.9,0.92
HD 144899 b,4.77,1.65
HD 145377 b,12.8,1.05
HD 145457 b,13.3,10.52
HD 145675 c,12.9,1
HD 145934 b,13.4,6.93
HD 1461 b,2.42,1.15
HD 1461 c,2.23,1.15
HD 147018 b,13.4,0.94
HD 147018 c,12.7,0.94
HD 147379 b,5.82,0.63
HD 147513 b,13.7,0.98
HD 14787 b,13.7,5.01
HD 147873 b,12.8,2.29
HD 147873 c,13.3,2.29
HD 148156 b,13.9,1.21
HD 148164 b,13.7,1.34
HD 148164 c,12.8,1.34
HD 148427 b,13.6,3.86
HD 149026 b,8.295,1.41
HD 149143 b,13.6,1.44
HD 149806 b,12.3,0.89
HD 150010 b,13.3,16.2
HD 1502 b,13.2,4.67
HD 150706 b,13.3,0.96
HD 151450 b,6.94,1.17
HD 151450 c,12.8,1.17
HD 152079 b,13.2,1.13
HD 152581 b,13.4,5.14
HD 153557 b,4.77,0.75
HD 153557 c,4.36,0.75
HD 153557 d,11.9,0.75
HD 153950 b,13.2,1.28
HD 154088 b,2.46,0.95
HD 154345 b,13.7,0.85
HD 154672 b,12.8,1.32
HD 154857 b,13.3,2.3
HD 154857 c,13.2,1.76
HD 155193 b,14,1.76
HD 155358 b,13.8,1.38
HD 155358 c,13.9,1.38
HD 155918 b,2.67,1.02
HD 155918 c,12.8,1.02
HD 156098 b,4.12,2.76
HD 156098 c,12.8,2.76
HD 156279 b,12.5,0.95
HD 156279 c,12.5,0.97
HD 156411 b,14,2.16
HD 156668 b,1.87,0.72
HD 156668 c,6.17,0.77
HD 156846 b,12.4,1.9
HD 158038 b,13.5,4.5
HD 158259 b,1.285,1.21
HD 158259 c,2.23,1.21
HD 158259 d,2.18,1.21
HD 158259 e,2.34,1.21
HD 158259 f,2.35,1.21
HD 158996 b,12.3,50.3
HD 159243 b,13.7,1.12
HD 159243 c,13.4,1.12
HD 159868 b,13.3,2.13
HD 159868 c,14,2.13
HD 1605 b,13.8,3.49
HD 1605 c,13,3.49
HD 160691 d,3.17,1.33
HD 161178 b,14.1,10.95
HD 16141 b,10.9,1.48
HD 16175 b,12.8,1.72
HD 162020 b,12.5,0.75
HD 163607 b,13.9,1.76
HD 163607 c,13.3,1.76
