HD 110113 b,2.05,0.97,-0.032
HD 137496 b,1.31,1.59,0.366
HD 1397 b,11.5,2.34,0.66
HD 152843 b,3.41,1.43,0.45
HD 152843 c,5.83,1.43,0.45
HD 15337 b,1.64,0.86,-0.326
HD 15337 c,2.39,0.86,-0.326
HD 15906 b,2.24,0.76,-0.569
HD 15906 c,2.93,0.76,-0.569
HD 183579 b,3.55,0.99,0.012
HD 18599 b,2.6,0.77,-0.429
HD 191939 b,3.41,0.94,-0.187
HD 191939 c,3.195,0.94,-0.187
HD 191939 d,2.995,0.94,-0.187
HD 202772 A b,17.318,2.59,0.971
HD 20329 b,1.72,1.13,0.049
HD 207496 b,2.25,0.77,-0.509
HD 207897 b,2.501,0.78,-0.444
HD 213885 b,1.745,1.1,0.139
HD 21749 c,0.892,0.7,-0.686
HD 219666 b,4.71,1.03,-0.028
HD 221416 b,9.17,2.94,0.712
HD 22946 b,1.362,1.12,0.209
HD 22946 c,2.328,1.12,0.209
HD 22946 d,2.607,1.12,0.209
HD 23472 b,2,0.71,-0.625
HD 23472 c,1.87,0.71,-0.625
HD 23472 d,0.75,0.71,-0.625
HD 23472 e,0.818,0.71,-0.625
HD 23472 f,1.137,0.71,-0.625
HD 260655 b,1.24,0.44,-1.44
HD 260655 c,1.533,0.44,-1.44
HD 2685 b,16.141,1.56,0.668
HD 28109 b,2.199,1.45,0.456
HD 28109 c,4.23,1.45,0.456
HD 28109 d,3.25,1.45,0.456
HD 307842 b,1.93,0.91,-0.19
HD 3167 b,1.67,0.88,-0.27
HD 3167 c,3,0.88,-0.27
HD 332231 b,9.718,1.28,0.305
HD 5278 b,2.45,1.19,0.28
HD 56414 b,3.71,1.75,1.158
HD 63433 b,2.15,0.91,-0.123
HD 63433 c,2.67,0.91,-0.123
HD 63935 b,2.99,0.96,-0.098
HD 73583 b,2.79,0.65,-0.76
HD 73583 c,2.39,0.65,-0.76
HD 80653 b,1.613,1.22,0.24
HD 86226 c,2.16,1.05,0.072
HD 89345 b,7.398,1.75,0.425
HD 93963 A b,1.35,1.04,0.098
HD 93963 A c,3.228,1.04,0.098
HIP 116454 b,2.53,0.72,-0.471
HIP 41378 b,2.507,1.34,0.396
HIP 41378 c,2.56,1.34,0.396
HIP 41378 d,3.96,1.34,0.396
HIP 41378 e,5.51,1.34,0.396
HIP 41378 f,10.2,1.34,0.396
HIP 65 A b,22.754,0.72,-0.678
HIP 67522 b,10.07,1.38,0.243
HIP 94235 b,3,1.08,0.138
HIP 9618 b,3.9,0.97,-0.075
HIP 9618 c,3.343,0.97,-0.075
HIP 97166 b,2.74,0.84,-0.331
HR 858 b,2.085,1.31,0.371
HR 858 c,1.939,1.31,0.371
HR 858 d,2.164,1.31,0.371
K2-10 b,3.84,0.98,-0.101
K2-100 b,3.88,1.24,0.25
K2-101 b,2,0.76,-0.595
K2-102 b,1.3,0.71,-0.657
K2-104 b,1.79,0.48,-1.434
K2-105 b,3.59,0.97,-0.189
K2-107 b,15.98,1.81,0.464
K2-108 b,5.33,1.76,0.405
K2-11 b,7.55,5.15,-0.31
K2-110 b,2.592,0.71,-0.567
K2-111 b,1.82,1.25,0.279
K2-113 b,12.14,1.24,0.009
K2-114 b,10.447,0.82,-0.445
K2-115 b,12.06,0.88,-0.145
K2-116 b,0.69,0.67,-0.746
K2-117 b,2.03,0.51,-1.357
K2-117 c,2.06,0.51,-1.357
K2-118 b,2.54,0.73,-0.561
K2-119 b,2.53,0.71,-0.685
K2-12 b,2.44,1.12,0.072
K2-120 b,2.01,0.67,-0.664
K2-121 b,7.52,0.67,-0.745
K2-122 b,1.16,0.59,-1.102
K2-123 b,2.76,0.59,-1.143
K2-124 b,2.9,0.39,-1.659
K2-125 b,2.18,0.4,-1.641
K2-126 b,1.97,0.65,-0.878
K2-127 b,8.37,0.66,-0.254
K2-128 b,1.42,0.78,-0.822
K2-129 b,1.04,0.36,-1.828
K2-13 b,1.89,0.78,-0.135
K2-130 b,1.25,0.74,-0.799
K2-131 b,1.69,0.76,-0.479
K2-132 b,14.572,3.85,0.943
K2-133 b,1.34,0.46,-1.479
K2-133 c,1.603,0.46,-1.479
K2-133 d,2.003,0.46,-1.479
K2-133 e,1.73,0.46,-1.479
K2-136 b,1.014,0.68,-0.777
K2-136 c,3,0.68,-0.777
K2-136 d,1.565,0.68,-0.777
K2-137 b,0.64,0.29,-1.484
K2-138 b,1.51,0.86,-0.287
K2-138 c,2.299,0.86,-0.287
K2-138 d,2.39,0.86,-0.287
K2-138 e,3.39,0.86,-0.287
K2-138 f,2.904,0.86,-0.287
K2-138 g,3.013,0.86,-0.287
K2-139 b,9.11,0.88,-0.299
K2-14 b,4.81,0.45,-0.968
K2-140 b,13.563,1.06,-0.049
K2-141 b,1.51,0.68,-0.75
K2-141 c,7,0.68,-0.75
K2-146 b,2.05,0.33,-1.824
K2-146 c,2.19,0.33,-1.824
K2-147 b,0.73,0.31,-1.292
K2-148 b,1.33,0.63,-0.996
K2-148 c,1.73,0.63,-0.996
K2-148 d,1.64,0.63,-0.996
K2-149 b,1.64,0.57,-1.31
K2-15 b,2.48,0.68,-0.453
K2-150 b,2,0.44,-1.585
K2-151 b,1.49,0.45,-1.553
K2-152 b,2.29,0.61,-1.06
K2-153 b,2,0.53,-1.367
K2-154 b,1.99,0.63,-1.018
K2-154 c,2.07,0.63,-1.018
K2-155 b,1.8,0.58,-1.229
K2-155 c,2.6,0.58,-1.229
K2-155 d,1.9,0.58,-1.229
K2-156 b,1.1,0.62,-0.838
K2-157 b,1,0.88,-0.21
K2-158 b,2.64,0.95,-0.163
K2-158 c,1.28,0.95,-0.163
K2-159 b,2.26,0.83,-0.296
K2-16 b,2.02,0.66,-0.761
K2-16 c,2.54,0.66,-0.761
K2-160 b,3.178,0.91,-0.137
K2-161 b,6.117,2.57,0.919
K2-162 b,1.44,0.69,-0.657
K2-163 b,2.466,0.76,-0.541
K2-164 b,3.249,2.2,0.59
K2-165 b,1.274,0.8,-0.37
K2-165 c,1.554,0.8,-0.37
K2-165 d,2.648,0.8,-0.37
K2-166 b,2.19,1.61,0.458
K2-167 b,2.3,1.49,0.436
K2-168 b,1.86,0.83,-0.176
K2-169 b,1.273,0.92,-0.161
K2-17 b,2.23,0.66,-0.997
K2-170 b,1.418,0.98,0.072
K2-170 c,1.802,0.98,0.072
K2-171 b,2.687,1.72,0.516
K2-172 b,1.666,0.87,-0.232
K2-172 c,3.206,0.87,-0.202
K2-173 b,1.608,0.84,-0.06
K2-174 b,2.6,0.68,-0.773
