K2-138 f,2.904,0.86
K2-138 g,3.013,0.86
K2-139 b,9.11,0.88
K2-14 b,4.81,0.45
K2-140 b,13.563,1.06
K2-141 b,1.51,0.68
K2-141 c,7,0.68
K2-146 b,2.05,0.33
K2-146 c,2.19,0.33
K2-147 b,0.73,0.31
K2-148 b,1.33,0.63
K2-148 c,1.73,0.63
K2-148 d,1.64,0.63
K2-149 b,1.64,0.57
K2-15 b,2.48,0.68
K2-150 b,2,0.44
K2-151 b,1.49,0.45
K2-152 b,2.29,0.61
K2-153 b,2,0.53
K2-154 b,1.99,0.63
K2-154 c,2.07,0.63
K2-155 b,1.8,0.58
K2-155 c,2.6,0.58
K2-155 d,1.9,0.58
K2-156 b,1.1,0.62
K2-157 b,1,0.88
K2-158 b,2.64,0.95
K2-158 c,1.28,0.95
K2-159 b,2.26,0.83
K2-16 b,2.02,0.66
K2-16 c,2.54,0.66
K2-160 b,3.178,0.91
K2-161 b,6.117,2.57
K2-162 b,1.44,0.69
K2-163 b,2.466,0.76
K2-164 b,3.249,2.2
K2-165 b,1.274,0.8
K2-165 c,1.554,0.8
K2-165 d,2.648,0.8
K2-166 b,2.19,1.61
K2-167 b,2.3,1.49
K2-168 b,1.86,0.83
K2-169 b,1.273,0.92
K2-17 b,2.23,0.66
K2-170 b,1.418,0.98
K2-170 c,1.802,0.98
K2-171 b,2.687,1.72
K2-172 b,1.666,0.87
K2-172 c,3.206,0.87
K2-173 b,1.608,0.84
K2-174 b,2.6,0.68
K2-175 b,2.038,1.42
K2-176 b,1.491,0.86
K2-177 b,2.116,1.21
K2-178 b,3.558,0.89
K2-179 b,2.513,0.77
K2-18 b,2.37,0.41
K2-180 b,2.52,0.72
K2-181 b,2.84,1.07
K2-182 b,2.69,0.79
K2-183 b,1.1,0.87
K2-183 c,2.3,0.87
K2-183 d,2.3,0.87
K2-184 b,1.47,0.75
K2-185 b,1.15,0.94
K2-185 c,2.39,0.94
K2-186 b,3.172,0.98
K2-187 b,1.2,0.83
K2-187 c,1.4,0.83
K2-187 d,2.4,0.83
K2-187 e,1.9,0.83
K2-188 b,1.35,1.19
K2-188 c,2.83,1.19
K2-189 b,1.52,0.87
K2-189 c,2.5,0.87
K2-19 b,7,0.82
K2-19 c,4.1,0.82
K2-19 d,1.11,0.82
K2-190 b,1.357,0.91
K2-190 c,1.093,0.91
K2-191 b,1.579,0.84
K2-192 b,1.52,0.81
